ID	TYPE	LOOP	SOUND_NAME
1	0	0	button
2	1	1	forest
3	1	1	desert
4	1	1	cave
5	1	1	seaside
6	1	1	cornfield
7	1	1	town
8	1	1	main
9	0	0	popupbox_open
10	0	0	popupbox_close
11	0	0	resource_get
12	0	0	levelup
13	0	0	variation_success
14	0	0	buy_success
15	0	0	recharge_success
16	0	0	gacha_10
17	0	0	buliding_levelup
18	0	0	rangeup
19	0	0	buliding_levelup
20	0	0	buliding_move
21	0	0	map_clean
22	0	0	buliding_collect
23	0	0	run_attack
24	0	0	run_jump
25	0	0	run_skill
26	0	0	run_collect
27	0	0	run_bigcoin
28	0	0	run_hurt
29	0	0	item_shield
30	0	0	item_invincible
31	0	0	item_duck
32	0	0	result_success
33	0	0	result_falid
34	0	0	result_score
